timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-01-20T23:00:10+00:00,SAT-65283,296.3406641260086,32.008901534120874,4069.926502960061,-1.09573505368902,38377.27653487104,10.5,10500038377.276535,47.655,-122.3035,60.0,0.16666666666666666
2026-01-20T23:00:11+00:00,SAT-65283,296.212640082787,32.027608873547635,4068.833689866515,-1.0842054707833508,37973.461771427166,10.5,10500037973.461771,47.655,-122.3035,60.0,0.18333333333333332
2026-01-20T23:00:12+00:00,SAT-65283,296.0844822219588,32.046092340416024,4067.752375610321,-1.0726652858674854,37569.27568073977,10.5,10500037569.27568,47.655,-122.3035,60.0,0.2
2026-01-20T23:00:13+00:00,SAT-65283,295.9561918927697,32.06435135851403,4066.682570765216,-1.061114606514778,37164.72203048273,10.5,10500037164.72203,47.655,-122.3035,60.0,0.21666666666666667
2026-01-20T23:00:14+00:00,SAT-65283,295.8277704524519,32.08238535705151,4065.6242857976517,-1.0495535303786405,36759.80424089162,10.5,10500036759.804241,47.655,-122.3035,60.0,0.23333333333333334
2026-01-20T23:00:15+00:00,SAT-65283,295.69921926739636,32.100193770533906,4064.5775310766876,-1.0379821641481242,36354.526048668326,10.5,10500036354.526049,47.655,-122.3035,60.0,0.25
2026-01-20T23:00:16+00:00,SAT-65283,295.57053971204994,32.11777603896398,4063.5423168649772,-1.026400611368941,35948.89108042164,10.5,10500035948.89108,47.655,-122.3035,60.0,0.26666666666666666
2026-01-20T23:00:17+00:00,SAT-65283,295.44173316928106,32.13513160783293,4062.5186533219053,-1.0148089745510516,35542.90292648403,10.5,10500035542.902927,47.655,-122.3035,60.0,0.2833333333333333
2026-01-20T23:00:18+00:00,SAT-65283,295.31280103049465,32.152259928146535,4061.506550504619,-1.0032073581752918,35136.56524621631,10.5,10500035136.565247,47.655,-122.3035,60.0,0.3
2026-01-20T23:00:19+00:00,SAT-65283,295.183744695384,32.16916045650436,4060.5060183660657,-0.9915958696076616,34729.881800029965,10.5,10500034729.8818,47.655,-122.3035,60.0,0.31666666666666665
2026-01-20T23:00:20+00:00,SAT-65283,295.05456557152826,32.18583265519311,4059.5170667521106,-0.9799746109266431,34322.85616314521,10.5,10500034322.856163,47.655,-122.3035,60.0,0.3333333333333333
2026-01-20T23:00:21+00:00,SAT-65283,294.925265075066,32.20227599214019,4058.539705406813,-0.9683436911255556,33915.49215296915,10.5,10500033915.492153,47.655,-122.3035,60.0,0.35
2026-01-20T23:00:22+00:00,SAT-65283,294.7958446297798,32.21848994107528,4057.5739439655304,-0.9567032138898718,33507.79340100562,10.5,10500033507.793402,47.655,-122.3035,60.0,0.36666666666666664
2026-01-20T23:00:23+00:00,SAT-65283,294.666305667758,32.234473981483404,4056.619791960211,-0.9450532858466403,33099.763641784884,10.5,10500033099.763641,47.655,-122.3035,60.0,0.38333333333333336
2026-01-20T23:00:24+00:00,SAT-65283,294.5366496290038,32.250227598698096,4055.67725881646,-0.933394016926846,32691.406725555058,10.5,10500032691.406725,47.655,-122.3035,60.0,0.4
2026-01-20T23:00:25+00:00,SAT-65283,294.4068779609551,32.26575028400013,4054.746353850245,-0.9217255092643667,32282.72622947656,10.5,10500032282.726229,47.655,-122.3035,60.0,0.4166666666666667
2026-01-20T23:00:26+00:00,SAT-65283,294.2769921195287,32.28104153452705,4053.827086275672,-0.9100478764778299,31873.726132954336,10.5,10500031873.726133,47.655,-122.3035,60.0,0.43333333333333335
2026-01-20T23:00:27+00:00,SAT-65283,294.146993567513,32.29610085351064,4052.9194651935313,-0.8983612208510386,31464.410018399816,10.5,10500031464.410019,47.655,-122.3035,60.0,0.45
2026-01-20T23:00:28+00:00,SAT-65283,294.01688377612186,32.31092775012616,4052.023499602603,-0.8866656566475509,31054.781887806148,10.5,10500031054.781887,47.655,-122.3035,60.0,0.4666666666666667
2026-01-20T23:00:29+00:00,SAT-65283,293.88666422327697,32.32552173973607,4051.139198387706,-0.8749612884335847,30644.84540352459,10.5,10500030644.845404,47.655,-122.3035,60.0,0.48333333333333334
2026-01-20T23:00:30+00:00,SAT-65283,293.75633639496317,32.33988234376734,4050.266570329375,-0.8632482268485829,30234.60444061645,10.5,10500030234.60444,47.655,-122.3035,60.0,0.5
2026-01-20T23:00:31+00:00,SAT-65283,293.6259017843246,32.354009089854856,4049.405624097798,-0.8515265809128013,29824.062817432234,10.5,10500029824.062817,47.655,-122.3035,60.0,0.5166666666666667
2026-01-20T23:00:32+00:00,SAT-65283,293.4953618918866,32.36790151185323,4048.5563682544343,-0.8397964619314514,29413.224432351264,10.5,10500029413.224432,47.655,-122.3035,60.0,0.5333333333333333
2026-01-20T23:00:33+00:00,SAT-65283,293.36471822515745,32.38155914991551,4047.7188112497347,-0.828057981539071,29002.09319528727,10.5,10500029002.093195,47.655,-122.3035,60.0,0.55
2026-01-20T23:00:34+00:00,SAT-65283,293.2339722985529,32.39498155053702,4046.892961422813,-0.8163112438648082,28590.672753283496,10.5,10500028590.672752,47.655,-122.3035,60.0,0.5666666666666667
2026-01-20T23:00:35+00:00,SAT-65283,293.1031256345395,32.40816826647103,4046.078827008932,-0.80455636909654,28178.967315827773,10.5,10500028178.967316,47.655,-122.3035,60.0,0.5833333333333334
